radar,datetime,height,u,v,w,ff,dd,sd_vvp,gap,eta,dens,dbz,dbz_all,n,n_dbz,n_all,n_dbz_all,rcs,sd_vvp_threshold,vcp,radar_latitude,radar_longitude,radar_height,radar_wavelength,source_file
bewid,2023-05-03T18:00:00Z,1800,-0.5015647411346436,0.14841637015342712,-2.958329677581787,0.5230627059936523,286.48382568359375,1.28543221950531,FALSE,3.264202833175659,0.0,-20.430227279663086,-18.38495445251465,845,32261,1084,32694,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T181000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,2000,-0.45515307784080505,0.2727573812007904,-2.4121580123901367,0.5306231379508972,300.93280029296875,1.410057544708252,FALSE,7.721297264099121,0.0,-16.69109535217285,2.208177089691162,797,21003,867,21414,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,2000,-0.21462959051132202,0.1432860791683197,-2.0800483226776123,0.25806349515914917,303.7269592285156,1.3207851648330688,FALSE,3.8675622940063477,0.0,-19.693626403808594,-18.437801361083984,741,20914,836,21355,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180500Z_0xb.h5
bewid,2023-05-03T18:00:00Z,2000,0.019464801996946335,0.2308899462223053,-2.4360146522521973,0.23170897364616394,4.818833351135254,1.148051381111145,FALSE,4.976662635803223,0.0,-18.598617553710938,-18.299989700317383,674,20794,753,21341,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T181000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,2200,-0.1467454731464386,-0.4324374198913574,-1.7576775550842285,0.4566577970981598,198.744384765625,1.240429401397705,FALSE,6.558067798614502,0.0,-17.400239944458008,-13.408618927001953,631,21466,674,21807,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,2200,0.26758578419685364,-0.2541133165359497,-2.3592424392700195,0.3690199553966522,133.5207061767578,1.2917771339416504,FALSE,5.355917930603027,0.0,-18.279659271240234,-17.3861083984375,609,21329,679,21819,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180500Z_0xb.h5
bewid,2023-05-03T18:00:00Z,2200,-0.13365930318832397,-0.14695316553115845,-2.4363818168640137,0.19864551723003387,222.2876739501953,1.1576980352401733,FALSE,6.343349456787109,0.0,-17.54481315612793,-17.25481605529785,568,21314,619,21793,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T181000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,2400,-0.6000175476074219,-0.14516201615333557,-2.8892507553100586,0.6173273324966431,256.3997802734375,1.2229987382888794,FALSE,10.18282699584961,0.0,-15.489315032958984,-12.417545318603516,559,16773,615,17043,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,2400,-0.4931449294090271,-0.2730062007904053,-2.683598518371582,0.5636703968048096,241.03097534179688,1.4911749362945557,FALSE,8.734700202941895,0.0,-16.155519485473633,-15.472013473510742,526,16802,582,17029,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180500Z_0xb.h5
bewid,2023-05-03T18:00:00Z,2400,-0.2809450030326843,-0.26541948318481445,-3.260227680206299,0.386493980884552,226.627685546875,1.0051178932189941,FALSE,6.015549182891846,0.0,-17.775245666503906,-16.770078659057617,524,16732,610,17066,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T181000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,2600,-0.04378020763397217,-0.2559870481491089,-2.5709431171417236,0.2597038149833679,189.7051239013672,1.1610554456710815,FALSE,5.67291259765625,0.0,-18.029937744140625,-16.446470260620117,368,15234,453,15545,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,2600,0.04192035272717476,-0.194882333278656,-2.277937173843384,0.19934001564979553,167.86032104492188,1.1000231504440308,FALSE,6.375995635986328,0.0,-17.522518157958984,-12.414493560791016,365,15384,422,15525,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180500Z_0xb.h5
bewid,2023-05-03T18:00:00Z,2600,0.3231219947338104,-0.14173731207847595,-2.5730342864990234,0.35284173488616943,113.68463897705078,1.2908416986465454,FALSE,5.454343795776367,0.0,-18.200572967529297,-16.356830596923828,364,15224,471,15546,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T181000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,2800,-0.30938485264778137,-0.4476795792579651,-1.1074936389923096,0.5441837906837463,214.6477813720703,1.2700154781341553,FALSE,7.847630500793457,0.0,-16.62061309814453,-15.879030227661133,455,11786,567,12113,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,2800,-0.2889966368675232,-0.2822220027446747,-1.6119403839111328,0.40394097566604614,225.6794891357422,1.1729841232299805,FALSE,8.097383499145508,0.0,-16.48455238342285,-15.037721633911133,460,11930,548,12180,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180500Z_0xb.h5
